,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
36,"Sarah Jessica Parker, Jessica Biel, Ashton Kutcher",2 wins & 8 nominations,"$54,544,638",United States,01 May 2012,Garry Marshall,"Comedy, Romance",English,22,The lives of several couples and singles in New York City intertwine over the course of New Year's Eve.,https://m.media-amazon.com/images/M/MV5BMjI2Mzg2MDQxOV5BMl5BanBnXkFtZTcwNzc3NTY5Ng@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",09 Dec 2011,True,118 min,New Year's Eve,movie,N/A,Katherine Fugate,2011,tt1598822,5.6,"87,092",
37,"Michelle Williams, Eddie Redmayne, Kenneth Branagh",Nominated for 2 Oscars. 18 wins & 64 nominations total,"$14,600,347","United Kingdom, United States",06 Mar 2012,Simon Curtis,"Biography, Drama","English, French",65,"Colin Clark, an employee of Sir Laurence Olivier, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).",https://m.media-amazon.com/images/M/MV5BMTYzODYwOTIzOV5BMl5BanBnXkFtZTcwODE2NjAwNw@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",23 Dec 2011,True,99 min,My Week with Marilyn,movie,N/A,"Adrian Hodges, Colin Clark",2011,tt1655420,6.9,"87,741",
38,"Hugh Grant, Drew Barrymore, Scott Porter",6 nominations,"$50,572,589",United States,08 May 2007,Marc Lawrence,"Comedy, Music, Romance",English,59,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",https://m.media-amazon.com/images/M/MV5BNDY5MTQwODI3OV5BMl5BanBnXkFtZTcwODM2MjEzMw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",14 Feb 2007,True,104 min,Music and Lyrics,movie,N/A,Marc Lawrence,2007,tt0758766,6.5,"104,234",
39,"Selena Gomez, Leighton Meester, Katie Cassidy",5 nominations,"$23,186,769",United States,18 Oct 2011,Thomas Bezucha,"Adventure, Comedy, Family",English,43,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,https://m.media-amazon.com/images/M/MV5BMjE4NjM3NjI1Nl5BMl5BanBnXkFtZTcwNjA5MzY1NQ@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",01 Jul 2011,True,109 min,Monte Carlo,movie,N/A,"Thomas Bezucha, April Blair, Maria Maggenti",2011,tt1067774,5.8,"45,686",
40,"Frances McDormand, Amy Adams, Ciarán Hinds",1 nomination,"$12,313,694","United Kingdom, United States",19 Aug 2008,Bharat Nalluri,"Comedy, Romance",English,63,"Guinevere Pettigrew, a middle-aged London governess, finds herself unfairly dismissed from her job. An attempt to gain new employment catapults her into the glamorous world and dizzying social whirl of an American actress and sing...",https://m.media-amazon.com/images/M/MV5BMTYwMjc5Mjk4OF5BMl5BanBnXkFtZTgwODc3NjMzMjI@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",07 Mar 2008,True,92 min,Miss Pettigrew Lives for a Day,movie,N/A,"David Magee, Simon Beaufoy, Winifred Watson",2008,tt0970468,7.0,"28,738",
41,"Owen Wilson, Rachel McAdams, Kathy Bates",Won 1 Oscar. 26 wins & 103 nominations total,"$56,817,045","Spain, United States, France",20 Dec 2011,Woody Allen,"Comedy, Fantasy, Romance","English, French, Spanish, German",81,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",https://m.media-amazon.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",10 Jun 2011,True,94 min,Midnight in Paris,movie,N/A,Woody Allen,2011,tt1605783,7.7,"428,204",
42,"Meryl Streep, Pierce Brosnan, Amanda Seyfried",Nominated for 3 BAFTA 15 wins & 26 nominations total,"$144,169,664","United States, United Kingdom, Germany",16 Dec 2008,Phyllida Lloyd,"Comedy, Musical, Romance","English, Greek",51,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",18 Jul 2008,True,108 min,Mamma Mia!,movie,N/A,Catherine Johnson,2008,tt0795421,6.5,"248,612",
43,"Meryl Streep, Pierce Brosnan, Amanda Seyfried",Nominated for 3 BAFTA 15 wins & 26 nominations total,"$144,169,664","United States, United Kingdom, Germany",16 Dec 2008,Phyllida Lloyd,"Comedy, Musical, Romance","English, Greek",51,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",18 Jul 2008,True,108 min,Mamma Mia!,movie,N/A,Catherine Johnson,2008,tt0795421,6.5,"248,612",
44,"Patrick Dempsey, Michelle Monaghan, Kevin McKidd",1 win & 1 nomination,"$46,012,734","United States, United Kingdom",16 Sep 2008,Paul Weiland,"Comedy, Romance","English, Gaelic",37,A guy in love with an engaged woman tries to win her over after she asks him to be her maid of honor.,https://m.media-amazon.com/images/M/MV5BMTk1MzA5MjEzMF5BMl5BanBnXkFtZTcwNTk0MjU1MQ@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",02 May 2008,True,101 min,Made of Honor,movie,N/A,"Adam Sztykiel, Deborah Kaplan, Harry Elfont",2008,tt0866439,5.8,"72,916",
45,"Jennifer Aniston, Aaron Eckhart, Dan Fogler",1 win,"$22,965,110","United States, Canada, United Kingdom",16 Aug 2011,Brandon Camp,"Drama, Romance",English,33,"A widower whose book about coping with loss turns him into a best-selling self-help guru, falls for the hotel florist where his seminar is given, only to learn that he hasn't yet truly confronted his wife's passing.",https://m.media-amazon.com/images/M/MV5BMTU1ODc4NjkyOF5BMl5BanBnXkFtZTcwMTA1MjU2Mg@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",18 Sep 2009,True,109 min,Love Happens,movie,N/A,"Brandon Camp, Mike Thompson",2009,tt0899106,5.6,"33,242",
46,"Jake Gyllenhaal, Anne Hathaway, Judy Greer",1 win & 5 nominations,"$32,367,005",United States,01 Mar 2011,Edward Zwick,"Comedy, Drama, Romance",English,55,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",https://m.media-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",24 Nov 2010,True,112 min,Love & Other Drugs,movie,N/A,"Charles Randolph, Edward Zwick, Marshall Herskovitz",2010,tt0758752,6.7,"207,061",
47,"Katherine Heigl, Josh Duhamel, Josh Lucas",2 nominations,"$53,374,681",United States,08 Feb 2011,Greg Berlanti,"Comedy, Drama, Romance",English,39,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,https://m.media-amazon.com/images/M/MV5BMTc1OTQzNzE0Nl5BMl5BanBnXkFtZTcwNDU4NDk3Mw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",08 Oct 2010,True,114 min,Life as We Know It,movie,N/A,"Ian Deitchman, Kristin Rusk Robinson",2010,tt1055292,6.5,"133,599",
48,"Mandy Moore, John Krasinski, Robin Williams",1 nomination,"$43,799,818","United States, Australia",30 Oct 2007,Ken Kwapis,"Comedy, Romance",English,25,A reverend puts an engaged couple through a grueling marriage preparation course to see if they are meant to be married in his church.,https://m.media-amazon.com/images/M/MV5BMTI5MTM2MjQ5NV5BMl5BanBnXkFtZTcwOTc3MDc0MQ@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",03 Jul 2007,True,91 min,License to Wed,movie,N/A,"Kim Barker, Tim Rasmussen, Vince Di Meglio",2007,tt0762114,5.2,"39,719",
49,"Amanda Seyfried, Gael García Bernal, Vanessa Redgrave",6 nominations,"$53,032,453",United States,14 Sep 2010,Gary Winick,"Adventure, Comedy, Drama","English, Italian, Spanish",50,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".",https://m.media-amazon.com/images/M/MV5BMjg0OTU0NDYwNF5BMl5BanBnXkFtZTcwNzUwNTMyMw@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",14 May 2010,True,105 min,Letters to Juliet,movie,N/A,"Jose Rivera, Tim Sullivan",2010,tt0892318,6.5,"101,794",
50,"Amy Adams, Matthew Goode, Adam Scott",N/A,"$25,918,920","United States, Ireland",04 May 2010,Anand Tucker,"Comedy, Romance","English, Ukrainian",33,"Anna Brady plans to travel to Dublin, Ireland to propose to her boyfriend Jeremy on February 29, leap day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.",https://m.media-amazon.com/images/M/MV5BMTgzMTQ2MDQxMF5BMl5BanBnXkFtZTcwODEzOTg5Mg@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",08 Jan 2010,True,100 min,Leap Year,movie,N/A,"Deborah Kaplan, Harry Elfont",2010,tt1216492,6.4,"105,645",
51,"Seth Rogen, Katherine Heigl, Paul Rudd",8 wins & 26 nominations,"$148,768,917",United States,25 Sep 2007,Judd Apatow,"Comedy, Romance",English,85,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",https://m.media-amazon.com/images/M/MV5BN2MwZTVlZGYtMjIxOS00YmYzLTg0Y2ItNDc5OWY1ZDZlMWVlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",01 Jun 2007,True,129 min,Knocked Up,movie,N/A,Judd Apatow,2007,tt0478311,6.9,"371,929",
52,"Katherine Heigl, Ashton Kutcher, Tom Selleck",2 wins & 3 nominations,"$47,059,963",United States,07 Sep 2010,Robert Luketic,"Action, Comedy, Romance",English,21,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.",https://m.media-amazon.com/images/M/MV5BMTU0NDIwOTcwOV5BMl5BanBnXkFtZTcwNjU3NTQ0Mw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",04 Jun 2010,True,100 min,Killers,movie,N/A,"Bob DeRosa, Ted Griffin",2010,tt1103153,5.4,"92,751",
53,"Queen Latifah, Common, Paula Patton",1 win & 11 nominations,"$21,540,363",United States,14 Sep 2010,Sanaa Hamri,"Comedy, Romance, Sport",English,51,A physical therapist falls for the basketball player she is helping recover from a career-threatening injury.,https://m.media-amazon.com/images/M/MV5BMTQ5MTcxODQwNF5BMl5BanBnXkFtZTcwNDk1MjQyMw@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",14 May 2010,True,100 min,Just Wright,movie,N/A,Michael Elliot,2010,tt1407061,5.9,"14,867",
54,"Mia Wasikowska, Michael Fassbender, Jamie Bell",Nominated for 1 Oscar. 10 wins & 16 nominations total,"$11,242,660","United Kingdom, United States",16 Aug 2011,Cary Joji Fukunaga,"Drama, Romance","English, French",76,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,https://m.media-amazon.com/images/M/MV5BNjU0Mjc0NzU3NF5BMl5BanBnXkFtZTcwMTU4OTkwNA@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",22 Apr 2011,True,120 min,Jane Eyre,movie,N/A,"Moira Buffini, Charlotte Brontë",2011,tt1229822,7.3,"89,199",
55,"Meryl Streep, Steve Martin, Alec Baldwin",Nominated for 1 BAFTA Award8 wins & 15 nominations total,"$112,735,375","Japan, United States",27 Apr 2010,Nancy Meyers,"Comedy, Drama, Romance","English, French",57,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.",https://m.media-amazon.com/images/M/MV5BMjQ0NjM2NTI4N15BMl5BanBnXkFtZTcwNjQ2MDc5Mg@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",25 Dec 2009,True,120 min,It's Complicated,movie,N/A,Nancy Meyers,2009,tt1230414,6.5,"93,825",
56,"Jim Carrey, Ewan McGregor, Leslie Mann",6 wins & 11 nominations,"$2,037,459","France, United States",25 Aug 2010,"Glenn Ficarra, John Requa","Biography, Comedy, Crime","English, Spanish",65,"A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.",https://m.media-amazon.com/images/M/MV5BNTUwZGU1ZTAtOGI4NC00ZDBlLTgxOGItNzdhOWFlNDczZDcxXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",07 Jan 2011,True,98 min,I Love You Phillip Morris,movie,N/A,"John Requa, Glenn Ficarra, Steve McVicker",2009,tt1045772,6.6,"96,828",
57,"Zac Efron, Vanessa Hudgens, Ashley Tisdale",8 wins & 9 nominations,"$90,559,416",United States,21 Oct 2008,Kenny Ortega,"Comedy, Drama, Family",English,57,"As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes a...",https://m.media-amazon.com/images/M/MV5BNDE1NjU2NTMyNV5BMl5BanBnXkFtZTcwMTg3NDA3MQ@@._V1_SX300.jpg,N/A,G,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",24 Oct 2008,True,112 min,High School Musical 3: Senior Year,movie,N/A,Peter Barsocchini,2008,tt0962726,4.9,"63,961",
58,"Ginnifer Goodwin, Jennifer Aniston, Jennifer Connelly",1 win & 4 nominations,"$93,953,653","Germany, United States",02 Jun 2009,Ken Kwapis,"Comedy, Drama, Romance",English,47,This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.,https://m.media-amazon.com/images/M/MV5BMTY5MTUyNDgwMF5BMl5BanBnXkFtZTcwNzYzMDQyMg@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",06 Feb 2009,True,129 min,He's Just Not That Into You,movie,N/A,"Abby Kohn, Marc Silverstein, Greg Behrendt",2009,tt1001508,6.4,"175,218",
59,"Dane Cook, Jessica Alba, Dan Fogler",1 win & 3 nominations,"$35,017,297","United States, Canada",15 Jan 2008,Mark Helfrich,"Comedy, Romance",English,19,"In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true l...",https://m.media-amazon.com/images/M/MV5BMTU1NzM1MTE1OV5BMl5BanBnXkFtZTYwNDQyMjU3._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",21 Sep 2007,True,96 min,Good Luck Chuck,movie,N/A,"Josh Stolberg, Steve Glenn",2007,tt0452625,5.6,"91,477",
60,"Drew Barrymore, Justin Long, Ron Livingston",N/A,"$17,804,299",United States,30 Nov 2010,Nanette Burstein,"Comedy, Romance",English,51,A romantic comedy centered on a guy and a gal who try to keep their love alive as they shuttle back and forth between New York and San Francisco to see one another.,https://m.media-amazon.com/images/M/MV5BMjQ1ODUyMjk5N15BMl5BanBnXkFtZTcwMjAxOTE2Mw@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",03 Sep 2010,True,102 min,Going the Distance,movie,N/A,Geoff LaTulippe,2010,tt1322312,6.3,"58,799",
61,"Matthew McConaughey, Jennifer Garner, Emma Stone",1 win,"$55,250,026",United States,22 Sep 2009,Mark Waters,"Comedy, Fantasy, Romance","English, Japanese, Chinese, Spanish",34,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends.",https://m.media-amazon.com/images/M/MV5BMTA0Njk2NTIyMTVeQTJeQWpwZ15BbWU3MDU0MzUyMzI@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",01 May 2009,True,100 min,Ghosts of Girlfriends Past,movie,N/A,"Jon Lucas, Scott Moore",2009,tt0821640,5.8,"90,995",
62,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen",1 win & 1 nomination,"$120,146,040","Germany, United States",24 Nov 2009,Seth Gordon,"Comedy, Drama, Romance",English,41,A couple struggles to visit all four of their divorced parents on Christmas.,https://m.media-amazon.com/images/M/MV5BMTQ2MjA0NDAwNF5BMl5BanBnXkFtZTcwOTU4MTM5MQ@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",26 Nov 2008,True,88 min,Four Christmases,movie,N/A,"Matt Allen, Caleb Wilson, Jon Lucas",2008,tt0369436,5.7,"75,322",
63,"Kirk Cameron, Erin Bethea, Ken Bevel",1 win,"$33,456,317",United States,27 Jan 2009,Alex Kendrick,"Drama, Romance",English,28,"In an attempt to save his marriage, a firefighter uses a 40-day experiment known as ""The Love Dare.""",https://m.media-amazon.com/images/M/MV5BMGZhYzFjY2ItNDVmZi00Y2Q1LWFmMDgtMzAwYTU3NTI3ZGU4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",26 Sep 2008,True,122 min,Fireproof,movie,N/A,"Alex Kendrick, Stephen Kendrick",2008,tt1129423,6.4,"23,156",
64,"Amy Adams, Susan Sarandon, James Marsden",Nominated for 3 Oscars. 12 wins & 51 nominations total,"$127,807,262",United States,18 Mar 2008,Kevin Lima,"Animation, Adventure, Comedy",English,75,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",https://m.media-amazon.com/images/M/MV5BMjE4NDQ2Mjc0OF5BMl5BanBnXkFtZTcwNzQ2NDE1MQ@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",21 Nov 2007,True,107 min,Enchanted,movie,N/A,Bill Kelly,2007,tt0461770,7.1,"207,618",
65,"Channing Tatum, Amanda Seyfried, Richard Jenkins",4 wins & 8 nominations,"$80,014,842",United States,25 May 2010,Lasse Hallström,"Drama, Mystery, Romance",English,43,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,https://m.media-amazon.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",05 Feb 2010,True,108 min,Dear John,movie,N/A,"Jamie Linden, Nicholas Sparks",2010,tt0989757,6.3,"151,200",
66,"Ewan McGregor, Christopher Plummer, Mélanie Laurent",Won 1 Oscar. 36 wins & 30 nominations total,"$5,790,894",United States,01 Nov 2011,Mike Mills,"Comedy, Drama, Romance","English, French",81,A young man is rocked by two announcements from his elderly father: that he has terminal cancer and that he has a young male lover.,https://m.media-amazon.com/images/M/MV5BMjAyNDcxNTk3NV5BMl5BanBnXkFtZTcwMjk4MDU2NA@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",09 Jun 2011,True,105 min,Beginners,movie,N/A,Mike Mills,2010,tt1532503,7.2,"92,783",
67,"Evan Rachel Wood, Jim Sturgess, Joe Anderson",Nominated for 1 Oscar. 2 wins & 18 nominations total,"$24,602,291","United States, United Kingdom",05 Feb 2008,Julie Taymor,"Drama, Fantasy, History",English,56,The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.,https://m.media-amazon.com/images/M/MV5BMTIyMTUwNzg3Nl5BMl5BanBnXkFtZTcwMjM1MDI1MQ@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",12 Oct 2007,True,133 min,Across the Universe,movie,N/A,"Dick Clement, Ian La Frenais, Julie Taymor",2007,tt0445922,7.3,"111,549",
68,"Michael Stuhlbarg, Richard Kind, Sari Lennick",Nominated for 2 Oscars. 17 wins & 80 nominations total,"$9,228,768","United Kingdom, France, United States",09 Feb 2010,"Ethan Coen, Joel Coen","Comedy, Drama","English, Yiddish, Hebrew",85,"Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",https://m.media-amazon.com/images/M/MV5BNGZkODlhMjktNzhhMC00YjFiLWJmODMtNjQwOGMzZjMxNTZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",06 Nov 2009,True,106 min,A Serious Man,movie,N/A,"Joel Coen, Ethan Coen",2009,tt1019452,7.0,"144,314",
69,"Michael Fassbender, Keira Knightley, Viggo Mortensen",18 wins & 28 nominations,"$5,704,709","United Kingdom, Germany, Canada, United States",13 Mar 2012,David Cronenberg,"Biography, Drama, Romance",English,76,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,https://m.media-amazon.com/images/M/MV5BMTU5Mjk3NjgxMl5BMl5BanBnXkFtZTcwMDM5MjA5Ng@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",10 Nov 2011,True,99 min,A Dangerous Method,movie,N/A,"Christopher Hampton, John Kerr",2011,tt1571222,6.4,"104,855",
70,"Katherine Heigl, James Marsden, Malin Akerman",5 wins & 3 nominations,"$76,808,654",United States,29 Apr 2008,Anne Fletcher,"Comedy, Romance",English,47,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",https://m.media-amazon.com/images/M/MV5BY2ZjYjQ5YTEtMzFmNi00ZDk1LWJiNWItNzMwMTBjM2YyM2I4XkEyXkFqcGdeQXVyMzExODEzNDA@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",18 Jan 2008,True,111 min,27 Dresses,movie,N/A,Aline Brosh McKenna,2008,tt0988595,6.1,"166,329",
71,"Zooey Deschanel, Joseph Gordon-Levitt, Scott Neustadter, Marc Webb",N/A,N/A,USA,N/A,Charles de Lauzirika,"Documentary, Short",English,N/A,A behind-the-scenes documentary exploring the making of Marc Webb's 500 Days of Summer (2009).,N/A,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",22 Dec 2009,True,30 min,Not a Love Story: Making (500) Days of Summer,movie,N/A,N/A,2009,tt1572162,7.7,43,
